problem_id,arm,dist1,dist2,min,max,spread,solved,node_count,expansions,disjunct_reached,picked_cheapest,hops1,hops2,cheaper_by_cost,cheaper_by_hops,agree
157,BFS,349.55553898697383,417.8707321391359,349.55553898697383,417.8707321391359,68.31519315216207,True,320,80,d1,True,65,77,d1,d1,True
157,DFS,349.55553898697383,417.8707321391359,349.55553898697383,417.8707321391359,68.31519315216207,True,263,65,d1,True,65,77,d1,d1,True
157,CheapestFirst,349.55553898697383,417.8707321391359,349.55553898697383,417.8707321391359,68.31519315216207,True,320,80,d1,True,65,77,d1,d1,True
157,DNF,349.55553898697383,417.8707321391359,349.55553898697383,417.8707321391359,68.31519315216207,True,571,142,,,65,77,d1,d1,True
158,BFS,417.9470650736996,329.34161603765943,329.34161603765943,417.9470650736996,88.60544903604017,True,300,75,d2,True,70,56,d2,d2,True
158,DFS,417.9470650736996,329.34161603765943,329.34161603765943,417.9470650736996,88.60544903604017,True,283,70,d1,False,70,56,d2,d2,True
158,CheapestFirst,417.9470650736996,329.34161603765943,329.34161603765943,417.9470650736996,88.60544903604017,True,300,75,d2,True,70,56,d2,d2,True
158,DNF,417.9470650736996,329.34161603765943,329.34161603765943,417.9470650736996,88.60544903604017,True,507,126,,,70,56,d2,d2,True
159,BFS,392.29846214378625,49.112458594718014,49.112458594718014,392.29846214378625,343.18600354906823,True,71,17,d2,True,68,9,d2,d2,True
159,DFS,392.29846214378625,49.112458594718014,49.112458594718014,392.29846214378625,343.18600354906823,True,275,68,d1,False,68,9,d2,d2,True
159,CheapestFirst,392.29846214378625,49.112458594718014,49.112458594718014,392.29846214378625,343.18600354906823,True,67,16,d2,True,68,9,d2,d2,True
159,DNF,392.29846214378625,49.112458594718014,49.112458594718014,392.29846214378625,343.18600354906823,True,311,77,,,68,9,d2,d2,True
160,BFS,101.13217400531109,379.3050425152866,101.13217400531109,379.3050425152866,278.1728685099755,True,155,38,d1,True,19,71,d1,d1,True
160,DFS,101.13217400531109,379.3050425152866,101.13217400531109,379.3050425152866,278.1728685099755,True,79,19,d1,True,19,71,d1,d1,True
160,CheapestFirst,101.13217400531109,379.3050425152866,101.13217400531109,379.3050425152866,278.1728685099755,True,139,34,d1,True,19,71,d1,d1,True
160,DNF,101.13217400531109,379.3050425152866,101.13217400531109,379.3050425152866,278.1728685099755,True,363,90,,,19,71,d1,d1,True
